rate,customer_review,reply
FIVE,"First time here, food is amazing and employees are super helpful if you ever get confused as to what to do. Enjoyable experience.","We are so glad to hear that you had a great experience at Witch Topokki in Flushing! Our team prides itself on providing friendly and helpful service to all of our guests. We are delighted that you enjoyed our delicious food and look forward to seeing you again soon! #witchtopokki #flushing #koreanfood #deliciousfood"
FIVE,"first time here and the employees are super helpful !!!","Thank you for your 5-star review! We are so happy to hear that our employees were helpful during your visit to Witch Topokki in Flushing. Our staff is dedicated to providing excellent customer service and we’re glad that you had a positive experience. We look forward to seeing you again soon!"
FIVE,"The variety of options means there’s something for everyone! The ddukbokgi creations you can make are endless. The dduk/rice cakes are very chewy and the cheese pull on the fondue cheese is Instagram ready!","Thank you for your 5-star review! We are so glad to hear that you enjoyed our variety of options and the ddukbokgi creations you can make. Our dduk/rice cakes are a fan favorite and we are thrilled that the cheese pull on the fondue cheese was Instagram ready! We look forward to seeing you again soon!"
FIVE,"The food bar has a lot of options and love that the sides are good too! My favorite was the friend chicken, paired well with the rice cakes and veggies 👍","Thank you for your 5-star rating! We are thrilled to hear that you enjoyed the variety of options we offer and that you particularly enjoyed our fried chicken. We hope you come back soon to try out more of our delicious sides like the rice cakes and veggies!"
FIVE,"Definitely must try! There are so many options and so much you can do to customize your experience here. We tried one of their sauces on their recipes and it was just mildly spicy! The fried options are good as well - try the fried chicken! So good, will recommend to my friends!","Thank you for your wonderful 5-star review of Witch Topokki in Flushing! We are delighted to hear that you enjoyed the wide selection of options and customizing your experience. We are especially pleased to hear that you enjoyed our sauce and fried options, such as the fried chicken - so good! We appreciate your recommendation and look forward to your next visit."
FIVE,"Finally had a chance to try out Witch Topokki. So much fun!! My kids loved the ramen wall. Loved the variety! Service was great!","Thank you so much for your kind words! We are thrilled to hear that you and your family had an enjoyable experience at Witch Topokki. We take great pride in offering a wide selection of delicious ramen dishes and excellent customer service. We look forward to seeing you again soon!"
FIVE,"the waiters were very nice and understanding","Thank you so much for the five-star rating! We are so pleased to hear that our waiters were friendly and accommodating. At Witch Topokki in Flushing, we strive to provide excellent customer service and delicious Korean food. We look forward to serving you again soon!"
FIVE,"i love jt","Thank you so much for your 5-star rating of Witch Topokki in Flushing! We're so glad you love our food and appreciate your support. We strive to bring you the best Korean cuisine in Flushing and we hope you'll come back soon to enjoy more topokki dishes!"
FIVE,"Our favorite place to go!","We're thrilled to hear that San Soo Kap San 2 in Flushing is your favorite place to go! We strive to provide the best Korean BBQ experience in the area, and we're so glad that you enjoy it. Thanks for the 5-star rating, and we look forward to seeing you again soon!"
ONE,"There is discrimination and malice against eating alone. Today I walked in alone, and the waiter told me that their store policy is that if you eat for one person you have to pay 40 per person instead of 30. But I don't see this explicit rule anywhere. If you don't want to serve a person, you can just say, there is no need to discriminate against a person to eat. Not everyone in the world likes to eat with others.","Thank you for bringing this to our attention. At Meat Project, we strive to create a welcoming atmosphere for all our customers and we apologize for any negative experience you had. We are committed to ensuring that our policies are fair and clearly communicated to all our customers. We hope you will give us another chance and visit us again soon."
FIVE,"I love this place its so fresh","Thank you for your 5-star review! We're so glad you enjoy Witch Topokki in Flushing. Our topokki is made with the freshest ingredients, so you can always expect a delicious meal. We look forward to seeing you again soon!"
FIVE,"Came here with friends to try and it was quite the experience! It’s an all you can eat ramen/hotpot. They have a lot of different spices hot pot you can try. They also have all sort of ramens to try.","Thank you for your 5 star review! We are delighted that you enjoyed your experience with us and had the opportunity to try our all you can eat ramen and hotpot. Our wide variety of spices and ramens make us a unique destination here in Flushing. We look forward to having you back soon!"
FIVE,"One of the best if not the best Korean places to dine in","We are so thrilled to hear that Witch Topokki in Flushing is one of the best Korean places to dine in. Our goal is to provide our guests with an unforgettable dining experience and we are delighted to know that we have achieved that goal. We look forward to seeing you again soon!"
FIVE,"great experience to eat with family and friends","Thank you for your 5-star rating! We are so pleased that you had a great experience eating Witch Topokki in Flushing with your family and friends. Our goal is to provide delicious Korean food and excellent customer service, so we are glad to hear that we achieved both for you. We look forward to seeing you again soon!"
FIVE,"no comment","Thank you so much for taking the time to leave us a 5 star rating! We are so glad to hear that you enjoyed Witch Topokki in Flushing. We strive to provide the best Korean food and service to our customers, and we are so happy that you had a great experience. Thank you again for your kind review!"
FIVE,"Amazing food and service!!","Thank you so much for your 5-star review! We strive to provide the best food and service at Witch Topokki in Flushing and are delighted to hear that you enjoyed your experience. We hope to see you again soon! #Flushing #WitchTopokki #KoreanFood #DeliciousFood"
FIVE,"AMAZING SERVICE!!","Thank you for your amazing review! We at Witch Topokki in Flushing take pride in providing our customers with the best service and quality Korean food. We are thrilled to hear you enjoyed your experience with us and hope to see you again soon!"
FIVE,"AYCE Topokki! Too many selections of Topokki and sauce options, I like mine plain. Also a ton of ramen options.There are also some cooked food, mostly fried: fried onion rings, french fries, fried veggies, pizza...additional cost for Angus beef and drinks. Cool environment and according to my wife and daughter, good k-pop music playlist.","Thank you for your 5-star review! We are delighted to hear that you enjoyed the variety of Topokki and sauce options, as well as the additional fried food and drinks. We are also glad that you and your family enjoyed the cool environment and K-pop music playlist. Thank you for choosing Witch Topokki in Flushing!"
FIVE,"Really cool concept of DIY teokbeokki with many food options and a fried food buffet for appetizers","Thank you for your 5-star review of Witch Topokki in Flushing! We are so glad you enjoyed our DIY teokbokki concept, and that you found our fried food buffet appetizers to your liking. We hope you come back soon to try more of our delicious food options!"
FIVE,"The staff is super friendly & helpful! Very clean & neatly organized with lots of options!","Thank you so much for your wonderful review! We're so glad that you had a great experience with our friendly and helpful staff, and that you found our store to be clean and well-organized with lots of options. We hope you come back soon to enjoy our delicious Witch Topokki in Flushing again!"
FIVE,"Good food amazing service","We are thrilled to hear that you had a great experience with us at Witch Topokki in Flushing! Our goal is to provide our customers with the best Korean food and service possible. We are so glad you enjoyed your meal and appreciate your 5-star rating!"
FIVE,"Jen best worker (if she gives me her insta)","Thank you for your kind words about Jen! We are delighted to know that she made such a positive impression on you. We hope that you continue to enjoy our topokki and other delicious dishes here at Witch Topokki in Flushing. Be sure to follow us on Instagram for more updates and specials!"
FIVE,"Its an amazing place to be!","We're glad to hear that you had an amazing experience at Witch Topokki in Flushing! Our top priority is to ensure that our customers have the best experience possible. We're so happy that you enjoyed your time with us! Thank you for the five-star rating!"
FIVE,"no comment","Thank you for taking the time to review Witch Topokki in Flushing! We are thrilled to hear that you had an enjoyable experience with us and appreciate your 5-star rating. We look forward to seeing you again soon!"
FIVE,"Such a cool concept! My waitress linda was super helpful and nice. I tried the bayside one and i brought my friend to try this location. I like the many options of rice cakes and the fried foods. There was new items like the rice and chicken concept also the meat. You most definitely should come try it because they also have ramen! I like how you can make it YOUR way! tried the mango and peach smoothie it was super refreshing. For the price it was definitely reasonable!","Thank you so much for your wonderful review! We're so glad that you had a great experience at Witch Topokki in Flushing and that you enjoyed the many options of rice cakes and the fried foods. We're especially excited that you tried our new rice and chicken concept and that you liked our smoothie options. We hope you come back soon and experience the deliciousness of Witch Topokki again!"
FIVE,"I love I Love Sashimi, I love it. The ambiance, the service, and the food. When I just want to relax this is where I go, I get the Kaisen bowl it’s a great value.","Thank you for your 5-star rating! We are thrilled to hear that you love I Love Sashimi, and appreciate you taking the time to share your experience. Our Kaisen bowl is a great value and we hope you continue to enjoy it when you come to relax at our Suwanee sushi restaurant. We look forward to seeing you again soon!"
FIVE,"Excellent! The hostess was very welcoming and gave us an overview of the menu while our table was being prepared. The server was also very helpful and attentive. The food was excellent, all you can eat! Delicious cuts of meat, shrimp, squid and equally delicious sides. It's a great experience!","Thank you for your kind review! We're so glad to hear that our hostess, server and food were all excellent. We strive to provide our guests with the best all-you-can-eat Korean BBQ experience in Chantilly. We look forward to seeing you again soon!"
FIVE,"Such a fun place to eat with friends or family. Food was great. Prices were as expected. We didn't have to wait too long for seating on a Sunday mid-day.","Thank you for your 5-star rating of Seol Grille in Cary! We are thrilled to hear that you enjoyed your experience with us and that you were able to find a table quickly. We strive to provide the best food, service, and atmosphere for our guests, and we're glad that we were able to exceed your expectations. We look forward to seeing you again soon!"
FIVE,"Great kbbq place. Meats were high quality and seasoned well. All the side dishes were tasty too. Ben was really helpful and attentive. Will definitely go back.","We are so glad you enjoyed your experience at Iron Age Halcyon in Alpharetta! We strive to provide the highest quality kbbq and side dishes, as well as excellent service. We look forward to seeing you again soon!"
FIVE,"It was our first time visiting this place and good thing Ben helped us get familiar with the menu. Aside from the great service amd music, we enjoyed the food especially the iron age soy beef steak! We will be back for sure :)","Thank you so much for your kind words! We are glad that you enjoyed your first visit to Iron Age Halcyon in Alpharetta and especially the Iron Age Soy Beef Steak. We look forward to seeing you again soon!"
FIVE,"Loved their beef bulgogi and irog age soy beef steak. Thanks Ben for assisting us!","We are thrilled to hear that you enjoyed our beef bulgogi and Iron Age soy beef steak. We appreciate your kind words about our staff member Ben and thank you for choosing Iron Age Halcyon in Alpharetta for your dining experience. We look forward to serving you again soon!"
FIVE,"Server Mahlana was great & food was delicious as always!","Thank you for your kind words about Mahlana and the delicious food! We are thrilled to hear that you had a great experience at Iron Age Halcyon in Alpharetta. We look forward to welcoming you back soon for another delicious meal!"
FIVE,"Our server Mahlana was so sweet! She gave us great service and the food was delish<3","Thank you so much for your kind words about Mahlana! We're thrilled to hear that you enjoyed the food at Iron Age Halcyon in Alpharetta. We strive to provide our customers with the best service and delicious food and we're glad we could deliver! We hope to see you again soon!"
FIVE,"Great experience with Mahlana!","Thank you for your positive review! We're so pleased to hear that Mahlana made your experience at Iron Age Halcyon in Alpharetta a great one. We strive to provide top-notch customer service and are glad that our efforts have been acknowledged. We look forward to seeing you again soon!"
FIVE,Good,"Thank you for your 5 star rating of Mirak in Cliffside Park! We strive to provide our customers with the best quality experience and are thrilled you enjoyed your time with us. We look forward to seeing you again soon! #MirakCliffsidePark #5StarRating #CliffsidePark #KoreanFood"
FIVE,"no comment","Thank you for taking the time to leave us a 5-star rating! We are thrilled to hear that you had a positive experience at Mirak in Cliffside Park. We strive to provide the best service and quality food to our customers, and we appreciate your kind words. We look forward to serving you again soon!"
FIVE,"no comment","Thank you for your review of Mirak in Cliffside Park! We are glad to hear that you had a great experience and appreciate your 5-star rating. We look forward to welcoming you back soon!"
FIVE,"no comment","Thank you for taking the time to leave your feedback! At K Town Market, we strive to provide the best quality products and services to our customers. We appreciate your five star rating and hope you continue to enjoy shopping with us!"
FIVE,"no comment","We appreciate your feedback! At Meat Project, we strive to provide the best quality meat and excellent customer service. We hope you'll give us another chance to show you why we are Centreville's top choice for meat. Thank you for taking the time to review us!"
FIVE,"no comment","Thank you for your feedback! We strive to provide the best quality of food and service to our customers. We hope to see you again soon at Witch Topokki in Flushing for more delicious Korean food!"
FIVE,Amazing,"Thank you for your amazing review of Witch Topokki in Flushing! We are so happy to hear that you enjoyed our delicious Korean-style fried rice cake dish. We strive to provide the best topokki in Flushing, and we appreciate you taking the time to share your experience."
FIVE,"great selection and service","Thank you for your 5-star rating! We are delighted to hear that you enjoyed our selection and service at Witch Topokki in Flushing. We strive to provide the best Korean cuisine and customer service experience, and it's great to know that we've succeeded. Thank you for your kind words!"
FIVE,"this is my second time here and the food is super good! a bit pricey but worth it if you love korean food :)","Thank you for your kind review! We are so glad to hear that you enjoyed your second visit to Witch Topokki in Flushing. We strive to provide our customers with the best Korean food experience and are thrilled that you think it was worth the price. We hope to see you again soon!"
FIVE,"Food's great, it's AYCE all my favorite prepared food and hot pot staples!","Thank you for your 5-star rating! We are delighted to hear that you enjoyed our all-you-can-eat selection of topokki and hot pot staples! We strive to provide a delicious and memorable dining experience for all of our customers. Come back and visit us soon for more of our delicious Korean cuisine!"
FIVE,"Lots of variety and always a great time! Will come back again for the fish soup and noodles!","We are glad that you enjoyed your time with us at Witch Topokki in Flushing! We are especially happy that you liked our fish soup and noodles. We look forward to your next visit and hope you will try some of our other delicious Korean dishes. Thank you for your 5 star rating!"
FIVE,"such a fun experience. everything is really good here!!","We are delighted to hear that you had a great experience at Witch Topokki in Flushing! Our goal is to provide delicious, authentic Korean cuisine and a fun atmosphere for our guests. We thank you for your 5-star rating and look forward to seeing you again soon!"
FIVE,"friendly and speedy service, super yummy :-)","Thank you so much for your kind words! We're glad you enjoyed our friendly and speedy service, as well as our delicious Witch Topokki. We strive to provide the best possible experience and we hope to see you again soon! #WitchTopokki #Flushing #KoreanFood"
FIVE,"no comment","Thank you for your review of Witch Topokki in Flushing! We are delighted to hear that you had a great experience with our topokki. We hope to continue providing our customers with the best Korean street food in the area. Please come back soon to try out our other delicious dishes!"
FIVE,"So good we had the rose and carbonara mix and it was fantastic.","Thank you for your 5-star review of Witch Topokki in Flushing! We are delighted to hear that you enjoyed the Rose and Carbonara Mix. Our goal is to provide the best Korean-Italian fusion experience and we are so happy that you found it enjoyable. Please come back soon and try our other delicious dishes!"
FIVE,"So gooddd and so full. I like the experience of mixing my own sauces and spices. There are some nice premade food( fried chicken and fishcakes). But i think there should be more meat options. The waitress is really nice. I like the pumpkin tteobokki.","Thank you for your kind review of Witch Topokki in Flushing! We are thrilled to hear that you had a great experience mixing your own sauces and spices and that you enjoyed the premade food. We apologize that there are not more meat options, however, we are glad you enjoyed the pumpkin tteobokki. We hope to see you again soon!"
FIVE,"so good! there were a lot of rice cakes (tteokbokki) and noodle options to choose from! I love the whole concept of the restaurant. Left the place with a happy tummy and a content heart","Thank you for your wonderful review! We are delighted to hear that you had such a positive experience at Witch Topokki. We strive to provide the best tteokbokki and noodle options in Flushing and are so glad that you enjoyed our concept. We hope to see you again soon!"
FIVE,"First time here and it was a good experience I liked the tteokbokki variety and overall 10/10","We are delighted to hear that you had a great experience at Witch Topokki in Flushing! Our tteokbokki is made with only the freshest ingredients and we strive to provide the best Korean food in Flushing. We look forward to seeing you again soon!"
FIVE,"For my first time here I thoroughly enjoyed every bit of it! The time is enough to stuff yourself with the variety of tteok this place has to offer!!!! The fried items were also so delicious. My favorite items have to be the sweet potato tteok, the radish, the pumpkin and lobster balls","We're so glad you had a great time at Witch Topokki in Flushing! Our sweet potato tteok, radish, pumpkin, and lobster balls are some of our most popular items. We hope you'll come back soon to try more of our delicious tteok dishes!"
FIVE,"no comment","Thank you for your feedback! We are pleased to hear that you enjoyed Witch Topokki's food and service. We strive to provide the best Korean cuisine in Flushing and we are glad that you had a positive experience. We look forward to seeing you again soon!"
FIVE,"Absolutely fantastic experience! I’ve been a fan of tteok so having an all-you-can-eat was already amazing to begin with. To add the variety of sauces on top of that is just pure heaven to get to try out!","Thank you for your 5-star rating! We are so glad to hear that you had an amazing experience with us at Witch Topokki in Flushing. Our all-you-can-eat tteok and variety of sauces are what make us stand out and we are so happy to hear that you enjoyed it! Come back soon for more delicious tteok!"
FIVE,"It was a nice experience, customer service is really good, servers help you out and explain the process to you and walk you through it, the food is amazing and there’s so many choices of topokki and hot food.","Thank you for your 5-star rating of Witch Topokki in Flushing! We are so pleased that you had a great time at our restaurant. Our friendly and knowledgeable servers are always happy to help explain the process and guide you through our delicious menu. We appreciate your kind words about our amazing selection of topokki and hot food. We hope to see you again soon!"
FIVE,"The fried food is weirdly good and worth coming for alone. It's a fun place","Thank you for your positive review of Witch Topokki in Flushing! We're so glad that you enjoyed the fried food and had a fun time. We hope to see you again soon for more delicious Korean food and a great experience! #KoreanFood #Flushing #WitchTopokki"
FIVE,"no comment","Thank you for taking the time to leave us a review! We are delighted to hear that you enjoyed our Witch Topokki in Flushing. We strive to serve the best quality of Korean food and we hope to see you again soon!"
FIVE,"no comment","Thank you for your review! We are glad to hear that you enjoyed our Witch Topokki in Flushing. Our team strives to provide the best quality food and experience to our customers. We look forward to seeing you again soon!"
FIVE,"So delicious! Especially love the coolpis drink!","Thank you for your 5 star review of Witch Topokki in Flushing! We are so glad to hear that you enjoyed our coolpis drink. We strive to provide the best topokki and drinks in Flushing, so we are thrilled to hear that you had such a great experience. We look forward to seeing you again soon!"
FIVE,"Staff was super friendly and attentive. Erin, our server, made our experience great.","We are so glad to hear that Erin made your experience at The Qui Korean BBQ & BAR in Chantilly great! Our friendly and attentive staff is committed to providing excellent service and making sure our customers have a wonderful time. Thank you for your 5-star review!"
FIVE,"no comment","Thank you for taking the time to share your experience with us! We strive to provide the best Korean BBQ and Bar experience in Chantilly and are thrilled to hear that you had a five-star experience. We hope to see you again soon!"
FIVE,"First time trying the Qui and we were not disappointed. Excellent service and delicious food. The atmosphere was great, but because they are so popular it got a little loud by the time we left. It didn't bother us, but might others. Overall, absolutely loved it and will be going back!","Thank you so much for your 5-star rating! We are so pleased that you enjoyed your experience at The Qui Korean BBQ & BAR in Chantilly. Our staff strives to provide excellent service and delicious food, along with a great atmosphere. We apologize if it got a bit loud, and we hope to welcome you back soon!"
FIVE,"no comment","Thank you for taking the time to leave us a five-star review for Seol Grille in Cary! We are so pleased to hear that you enjoyed your experience with us and we look forward to welcoming you back soon. At Seol Grille, we strive to provide the best Asian fusion cuisine and service in Cary. Thank you for choosing us!"
ONE,"the vegan teacher DOES NOT approve of this place. #veganlife #vegan #butimstarving #helpme🙁","We are sorry to hear that our vegan customer did not approve of our restaurant. We strive to provide a wide selection of vegan options to accommodate all dietary needs. We hope you will give us another chance and try out our vegan dishes next time. #veganlife #vegan #MeatProjectCentreville #VeganOptions"
FIVE,"Jacob was great. Knowledgeable, attentive and informative. Highly recommend!","We are so pleased to hear that you had a great experience with Jacob! We strive to provide our customers with the best service possible, and we are glad that Jacob was able to do just that. Thank you for your 5-star rating and for recommending Iron Age Halcyon in Alpharetta!"
FIVE,"mahlana gave us a wonderful experience:) speedy service, great attitude & beautiful hair :)","Thank you for your 5 star rating, mahlana! We are so pleased that you had a wonderful experience with us at Iron Age Halcyon in Alpharetta. Our goal is to provide our customers with fast, friendly service, and we are thrilled that you were happy with our attitude and the beautiful results of your hair. We look forward to seeing you again soon!"
FIVE,"We had an amazing time tonight! This is not our first time here, but we had exceptional service from Jacob who made the experience all more special. He was always there to meet our needs and our plates and glasses stayed full!","Thank you so much for your kind words! We are so pleased to hear that your experience with us was exceptional, especially due to the great service from Jacob. We strive to make each visit to Iron Age Halcyon in Alpharetta memorable and enjoyable, and we are delighted to hear that we achieved that goal for you. We look forward to seeing you again soon!"
FIVE,"Jacob was a phenomenal host for us on our date night! He balanced numerous tables graciously and gave extra care to the ‘Iron Age newbies’. Great food, great time!","We're so glad Jacob made your date night special! We strive to make every guest feel welcome and taken care of here at Iron Age Halcyon in Alpharetta. We're delighted to hear that you enjoyed the food and had a great time! Thank you for the 5 star review!"
FIVE,"Mahlana was awesome! She kept the food coming, made sure we had all the sides we needed and provided everything with a smile!!","We are so glad to hear that Mahlana was able to provide you with such an exemplary experience here at Iron Age Halcyon in Alpharetta! We strive to provide our guests with the highest quality of service and are delighted to know that Mahlana was able to exceed your expectations. Thank you for your 5-star review and we look forward to seeing you again soon!"
FIVE,"Jacob our server was the best I ever had here at iron age. 5th time visiting and dining here.","We are thrilled to hear that you had such a great experience with Jacob and that you have visited us five times! We strive to provide the best service and food for all of our guests. We hope to see you again soon at Iron Age Halcyon in Alpharetta!"
FIVE,"Great food, great drinks, I will definitely be back and I hope Mahlana is our server, she was great! <3","Thank you for your 5 star rating and for your kind words about Mahlana! We are so glad to hear that you enjoyed your experience at Iron Age Halcyon in Alpharetta and that you plan to return. We look forward to welcoming you back soon!"
FIVE,"Our server was Jacob","We're delighted to hear that you enjoyed your experience at Iron Age Halcyon in Alpharetta, Jacob's service in particular. We strive to provide top-notch service and are thrilled to hear that Jacob exceeded your expectations. We hope you'll come back soon and enjoy another great meal with us!"
FIVE,"Jacob was great","We are so pleased to hear that Jacob was great! Here at Iron Age Halcyon in Alpharetta, we strive to make sure our customers have the best experience possible. We are so glad Jacob was able to provide you with an excellent experience when you visited us. Thank you for taking the time to share your review!"
FIVE,"Our food was amazing as was our server Jacob! Very attentive and fast in his responses to our requests.","Thank you so much for your kind words! We are delighted to hear that you had a great experience with our food and especially with Jacob. We strive to provide our customers with the best service possible and it's great to hear that we've achieved that. We look forward to seeing you again soon at Iron Age Halcyon in Alpharetta!"
FIVE,"I was there for the first time and loved this AYCE Topokki place! Witch signature topokki sauce was really tasty (not too spicy not too sweet). Food was great and atmosphere was also great! Servers are very kind too. Only down side is price range is pretty high.","Thank you for your review! We are glad to hear that you enjoyed your experience at Witch Topokki. Our signature topokki sauce is a unique blend of flavors that is sure to please everyone. We strive to provide great food, great atmosphere, and great service at a reasonable price. We hope to see you again soon!"
FIVE,"Great experience. Service is really good. Chicken wing is surprisingly amazing as well.","Thank you for your 5-star review! We are so pleased to hear that you had a great experience with us and that you enjoyed our chicken wings. We strive to provide the best service and food for our customers, and we're glad that we could meet your expectations. Come back and visit us again soon!"
FIVE,"First time here and it was a good experience. Food was good 😊","Thank you so much for your 5 star rating! We are delighted to hear that your first experience with Witch Topokki in Flushing was a good one. Our team works hard to ensure that all of our customers enjoy their food, and we are glad that you found it to be good. We look forward to seeing you again soon!"
FIVE,"Nice and cozy environment, great food too for its price.","Thank you for your 5-star rating of Witch Topokki in Flushing! We are so glad that you enjoyed our cozy atmosphere and delicious food at a great price. We look forward to seeing you again soon!"
FIVE,"Excellent service. Cool concept. Fresh ingredients.","Thank you for the 5-star rating! We are delighted to hear that you enjoyed our service, concept, and fresh ingredients. At Witch Topokki, we strive to provide a unique and delicious experience to our customers. We look forward to seeing you again soon!"
FIVE,"no comment","Thank you for taking the time to leave us a review! We are so glad to hear that you enjoyed our Witch Topokki. We strive to provide the best quality ingredients and service to our customers. We hope to see you again soon!"
FIVE,"Amazing place! The food was really good, atmosphere is superb, and the staff is very nice.","Thank you for your kind words! We're thrilled you enjoyed the food, atmosphere, and staff at Witch Topokki in Flushing. We strive to provide an exceptional experience for all our guests and are glad to know that we succeeded in doing so. We look forward to seeing you again soon!"
FIVE,"no comment","Thank you for taking the time to leave your feedback about Witch Topokki in Flushing! We strive to provide the best Korean food experience and are glad to hear that you enjoyed your meal. We hope to see you again soon!"
FIVE,"The staff are very helpful, food is banging, no complaints. Danny have a great tour","Thank you for your 5-star rating, Danny! We are thrilled to hear that you had a great tour and that our staff was helpful. Our team works hard to ensure that our food is of the highest quality, and we are glad that you enjoyed it. We hope to see you again soon at Witch Topokki in Flushing!"
FIVE,"no comment","Thank you for taking the time to share your experience with Witch Topokki in Flushing! We're so glad you enjoyed your visit and gave us a 5 star rating. We hope to see you again soon for more delicious Korean topokki!"
FIVE,"the servers were so nice and the food was so good, I had to keep getting more servings","Thank you for your 5-star review of Witch Topokki in Flushing! We are so glad that our servers were nice and that you enjoyed the food. Our delicious Korean-style topokki is one of the most popular dishes in Flushing and we are glad that you enjoyed it so much that you had to keep getting more servings. Thank you for your kind words!"
FIVE,"no comment","Thank you for your feedback! We strive to provide the best quality topokki in Flushing and are glad you enjoyed your experience. We hope to see you again soon!"
FIVE,"Great vibes, good food. Highly recommend","We are so glad that you enjoyed your experience at Witch Topokki in Flushing. Our topokki dishes are made with the freshest ingredients and cooked to perfection. We strive to provide our customers with the best service and atmosphere. Thank you for your 5-star rating and recommendation!"
FIVE,"Good and service both amazing!","Thank you for your 5-star rating of Witch Topokki in Flushing! We strive to provide the best Korean food and service possible. We hope you enjoyed your experience and look forward to seeing you again soon! #WitchTopokki #KoreanFood #Flushing"
FIVE,"no comment","Thank you for taking the time to leave a review of Witch Topokki in Flushing. We are so glad to hear that you enjoyed your experience with us and appreciate your 5 star rating. We look forward to seeing you again soon!"
FIVE,"Lovely spot, been introduced to this spot by one of my friends and now we are dinning at this spot, workers are lovely and friendly and food is great!","Thank you so much for your five-star review of Witch Topokki in Flushing! We are delighted to hear that you and your friends have been enjoying our delicious food and friendly service. We hope to see you again soon! #WitchTopokki #Flushing #KoreanFood #DeliciousFood #FriendlyService"
FIVE,Food,"Thank you for your 5-star rating of Witch Topokki in Flushing! We are so glad to hear that you enjoyed our food. We strive to provide the best Korean-style topokki in the area and are glad that you found it to your liking. We look forward to seeing you again soon!"
